SciName_orig,OTU_BCG,Modified,Rationale,CommonName
ALOSA CHRYSOCHLORIS,ALOSA CHRYSOCHLORIS,FALSE,No change,SKIPJACK HERRING
ALOSA PSEUDOHARENGUS,ALOSA PSEUDOHARENGUS,FALSE,,ALEWIFE
AMBLOPLITES ARIOMMUS,AMBLOPLITES ARIOMMUS,FALSE,,SHADOW BASS
AMBLOPLITES CONSTELLATUS,AMBLOPLITES CONSTELLATUS,FALSE,,OZARK BASS
AMBLOPLITES RUPESTRIS,AMBLOPLITES RUPESTRIS,FALSE,,ROCK BASS
AMEIURUS,AMEIURUS,FALSE,,BULLHEADS
AMEIURUS MELAS,AMEIURUS MELAS,FALSE,,BLACK BULLHEAD
AMEIURUS NATALIS,AMEIURUS NATALIS,FALSE,,YELLOW BULLHEAD
AMEIURUS NEBULOSUS,AMEIURUS NEBULOSUS,FALSE,,BROWN BULLHEAD
AMIA CALVA,AMIA CALVA,FALSE,,BOWFIN
AMMOCRYPTA CLARA,AMMOCRYPTA CLARA,FALSE,,WESTERN SAND DARTER
AMMOCRYPTA VIVAX,AMMOCRYPTA VIVAX,FALSE,,SCALY SAND DARTER
ANGUILLA ROSTRATA,ANGUILLA ROSTRATA,FALSE,,AMERICAN EEL
APHREDODERUS SAYANUS,APHREDODERUS SAYANUS,FALSE,,PIRATE PERCH
APLODINOTUS GRUNNIENS,APLODINOTUS GRUNNIENS,FALSE,,FRESHWATER DRUM
ATRACTOSTEUS SPATULA,ATRACTOSTEUS SPATULA,FALSE,,ALLIGATOR GAR
CAMPOSTOMA,CAMPOSTOMA,FALSE,,STONEROLLERS
CAMPOSTOMA ANOMALUM,CAMPOSTOMA ANOMALUM,FALSE,,CENTRAL STONEROLLER
CAMPOSTOMA ANOMALUM X RHINICHTHYS ATRATULUS,CAMPOSTOMA ANOMALUM X RHINICHTHYS ATRATULUS,FALSE,,CENTRAL STONEROLLER X BLACKNOSE DACE
CAMPOSTOMA OLIGOLEPIS,CAMPOSTOMA OLIGOLEPIS,FALSE,,LARGESCALE STONEROLLER
CARASSIUS AURATUS,CARASSIUS AURATUS,FALSE,,GOLDFISH
CARPIODES,CARPIODES,FALSE,,CARPSUCKER
CARPIODES CARPIO,CARPIODES CARPIO,FALSE,,RIVER CARPSUCKER
CARPIODES CYPRINUS,CARPIODES CYPRINUS,FALSE,,QUILLBACK
CARPIODES VELIFER,CARPIODES VELIFER,FALSE,,HIGHFIN CARPSUCKER
CATOSTOMIDAE,CATOSTOMIDAE,FALSE,,SUCKER
CATOSTOMUS CATOSTOMUS,CATOSTOMUS CATOSTOMUS,FALSE,,LONGNOSE SUCKER
CATOSTOMUS COMMERSONII,CATOSTOMUS COMMERSONII,FALSE,,WHITE SUCKER
CENTRARCHUS MACROPTERUS,CENTRARCHUS MACROPTERUS,FALSE,,FLIER
CHROSOMUS,CHROSOMUS,FALSE,,DACE
CHROSOMUS EOS,CHROSOMUS EOS,FALSE,,NORTHERN REDBELLY DACE
CHROSOMUS ERYTHROGASTER,CHROSOMUS ERYTHROGASTER,FALSE,,SOUTHERN REDBELLY DACE
CHROSOMUS NEOGAEUS,CHROSOMUS NEOGAEUS,FALSE,,FINESCALE DACE
CLINOSTOMUS ELONGATUS,CLINOSTOMUS ELONGATUS,FALSE,,REDSIDE DACE
COTTUS,COTTUS,FALSE,,SCULPIN
COTTUS BAIRDII,COTTUS BAIRDII,FALSE,,MOTTLED SCULPIN
COTTUS CAROLINAE,COTTUS CAROLINAE,FALSE,,BANDED SCULPIN
COTTUS COGNATUS,COTTUS COGNATUS,FALSE,,SLIMY SCULPIN
COTTUS HYPSELURUS,COTTUS HYPSELURUS,FALSE,,OZARK SCULPIN
COTTUS IMMACULATUS,COTTUS IMMACULATUS,FALSE,,KNOBFIN SCULPIN
COTTUS SPECUS,COTTUS SPECUS,FALSE,,GROTTO SCULPIN
CRYSTALLARIA ASPRELLA,CRYSTALLARIA ASPRELLA,FALSE,,CRYSTAL DARTER
CTENOPHARYNGODON IDELLA,CTENOPHARYNGODON IDELLA,FALSE,,GRASS CARP
CULAEA INCONSTANS,CULAEA INCONSTANS,FALSE,,BROOK STICKLEBACK
CYCLEPTUS ELONGATUS,CYCLEPTUS ELONGATUS,FALSE,,BLUE SUCKER
CYPRINELLA,CYPRINELLA,FALSE,,SATINFIN SHINERS 
CYPRINELLA CAMURA,CYPRINELLA CAMURA,FALSE,,BLUNTFACE SHINER
CYPRINELLA GALACTURA,CYPRINELLA GALACTURA,FALSE,,WHITETAIL SHINER
CYPRINELLA LUTRENSIS,CYPRINELLA LUTRENSIS,FALSE,,RED SHINER
CYPRINELLA LUTRENSIS X SPILOPTERA,CYPRINELLA LUTRENSIS X SPILOPTERA,FALSE,,RED SHINER X SPOTFIN SHINER
CYPRINELLA SPILOPTERA,CYPRINELLA SPILOPTERA,FALSE,,SPOTFIN SHINER
CYPRINELLA VENUSTA,CYPRINELLA VENUSTA,FALSE,,BLACKTAIL SHINER
CYPRINELLA WHIPPLEI,CYPRINELLA WHIPPLEI,FALSE,,STEELCOLOR SHINER
CYPRINIDAE,CYPRINIDAE,FALSE,,CYPRINIDAE
CYPRINIDAE HYBRID,CYPRINIDAE HYBRID,FALSE,,CYPRINIDAE HYBRID
CYPRINODON RUBROFLUVIATILIS,CYPRINODON RUBROFLUVIATILIS,FALSE,,RED RIVER PUPFISH
CYPRINUS CARPIO,CYPRINUS CARPIO,FALSE,,COMMON CARP
DOROSOMA,DOROSOMA,FALSE,,SHAD
DOROSOMA CEPEDIANUM,DOROSOMA CEPEDIANUM,FALSE,,GIZZARD SHAD
DOROSOMA PETENENSE,DOROSOMA PETENENSE,FALSE,,THREADFIN SHAD
ELASSOMA ZONATUM,ELASSOMA ZONATUM,FALSE,,BANDED PYGMY SUNFISH
ERIMYSTAX HARRYI,ERIMYSTAX HARRYI,FALSE,,OZARK CHUB
ERIMYSTAX X-PUNCTATUS,ERIMYSTAX X-PUNCTATUS,FALSE,,GRAVEL CHUB
ERIMYZON CLAVIFORMIS,ERIMYZON CLAVIFORMIS,FALSE,,WESTERN CREEK CHUBSUCKER
ERIMYZON OBLONGUS,ERIMYZON OBLONGUS,FALSE,,CREEK CHUBSUCKER
ERIMYZON SUCETTA,ERIMYZON SUCETTA,FALSE,,LAKE CHUBSUCKER
ESOX AMERICANUS,ESOX AMERICANUS,FALSE,,REDFIN OR GRASS PICKEREL
ESOX LUCIUS,ESOX LUCIUS,FALSE,,NORTHERN PIKE
ESOX MASQUINONGY,ESOX MASQUINONGY,FALSE,,MUSKELLUNGE
ESOX NIGER,ESOX NIGER,FALSE,,CHAIN PICKEREL
ETHEOSTOMA,ETHEOSTOMA,FALSE,,DARTER
ETHEOSTOMA ARTESIAE,ETHEOSTOMA ARTESIAE,FALSE,,REDSPOT DARTER
ETHEOSTOMA ASPRIGENE,ETHEOSTOMA ASPRIGENE,FALSE,,MUD DARTER
ETHEOSTOMA AUTUMNALE,ETHEOSTOMA AUTUMNALE,FALSE,,AUTUMN DARTER
ETHEOSTOMA BLENNIOIDES,ETHEOSTOMA BLENNIOIDES,FALSE,,GREENSIDE DARTER
ETHEOSTOMA BURRI,ETHEOSTOMA BURRI,FALSE,,BROOK DARTER
ETHEOSTOMA CAERULEUM,ETHEOSTOMA CAERULEUM,FALSE,,RAINBOW DARTER
ETHEOSTOMA CHLOROSOMA,ETHEOSTOMA CHLOROSOMA,FALSE,,BLUNTNOSE DARTER
ETHEOSTOMA COLLETTEI,ETHEOSTOMA COLLETTEI,FALSE,,CREOLE DARTER
ETHEOSTOMA CRAGINI,ETHEOSTOMA CRAGINI,FALSE,,ARKANSAS DARTER
ETHEOSTOMA ERYTHROZONUM,ETHEOSTOMA ERYTHROZONUM,FALSE,,MERAMEC SADDLED DARTER
ETHEOSTOMA EUZONUM,ETHEOSTOMA EUZONUM,FALSE,,ARKANSAS SADDLED DARTER
ETHEOSTOMA EXILE,ETHEOSTOMA EXILE,FALSE,,IOWA DARTER
ETHEOSTOMA FLABELLARE,ETHEOSTOMA FLABELLARE,FALSE,,FANTAIL DARTER
ETHEOSTOMA FLABELLARE FLABELLARE,ETHEOSTOMA FLABELLARE FLABELLARE,FALSE,,BARRED FANTAIL DARTER
ETHEOSTOMA FLABELLARE LINEOLATUM,ETHEOSTOMA FLABELLARE LINEOLATUM,FALSE,,STRIPED FANTAIL DARTER
ETHEOSTOMA FUSIFORME,ETHEOSTOMA FUSIFORME,FALSE,,SWAMP DARTER
ETHEOSTOMA GRACILE,ETHEOSTOMA GRACILE,FALSE,,SLOUGH DARTER
ETHEOSTOMA HISTRIO,ETHEOSTOMA HISTRIO,FALSE,,HARLEQUIN DARTER
ETHEOSTOMA MICROPERCA,ETHEOSTOMA MICROPERCA,FALSE,,LEAST DARTER
ETHEOSTOMA MIHILEZE,ETHEOSTOMA MIHILEZE,FALSE,,SUNBURST DARTER
ETHEOSTOMA NIANGUAE,ETHEOSTOMA NIANGUAE,FALSE,,NIANGUA DARTER
ETHEOSTOMA NIGRUM,ETHEOSTOMA NIGRUM,FALSE,,JOHNNY DARTER
ETHEOSTOMA PARVIPINNE,ETHEOSTOMA PARVIPINNE,FALSE,,GOLDSTRIPE DARTER
ETHEOSTOMA PROELIARE,ETHEOSTOMA PROELIARE,FALSE,,CYPRESS DARTER
ETHEOSTOMA PUNCTULATUM,ETHEOSTOMA PUNCTULATUM,FALSE,,STIPPLED DARTER
ETHEOSTOMA RADIOSUM,ETHEOSTOMA RADIOSUM,FALSE,,ORANGEBELLY DARTER
ETHEOSTOMA SPECTABILE,ETHEOSTOMA SPECTABILE,FALSE,,ORANGETHROAT DARTER
ETHEOSTOMA STIGMAEUM,ETHEOSTOMA STIGMAEUM,FALSE,,SPECKLED DARTER
ETHEOSTOMA TEDDYROOSEVELT,ETHEOSTOMA TEDDYROOSEVELT,FALSE,,HIGHLAND DARTER
ETHEOSTOMA TETRAZONUM,ETHEOSTOMA TETRAZONUM,FALSE,,MISSOURI SADDLED DARTER
ETHEOSTOMA UNIPORUM,ETHEOSTOMA UNIPORUM,FALSE,,CURRENT DARTER
ETHEOSTOMA WHIPPLEI,ETHEOSTOMA WHIPPLEI,FALSE,,REDFIN DARTER
ETHEOSTOMA ZONALE,ETHEOSTOMA ZONALE,FALSE,,BANDED DARTER
FUNDULUS,FUNDULUS,FALSE,,TOPMINNOWS
FUNDULUS CATENATUS,FUNDULUS CATENATUS,FALSE,,NORTHERN STUDFISH
FUNDULUS CHRYSOTUS,FUNDULUS CHRYSOTUS,FALSE,,GOLDEN TOPMINNOW
FUNDULUS DISPAR,FUNDULUS DISPAR,FALSE,,STARHEAD TOPMINNOW
FUNDULUS KANSAE,FUNDULUS KANSAE,FALSE,,NORTHERN PLAINS KILLIFISH
FUNDULUS NOTATUS,FUNDULUS NOTATUS,FALSE,,BLACKSTRIPE TOPMINNOW
FUNDULUS OLIVACEUS,FUNDULUS OLIVACEUS,FALSE,,BLACKSPOTTED TOPMINNOW
FUNDULUS SCIADICUS,FUNDULUS SCIADICUS,FALSE,,PLAINS TOPMINNOW
FUNDULUS ZEBRINUS,FUNDULUS ZEBRINUS,FALSE,,PLAINS KILLIFISH
GAMBUSIA AFFINIS,GAMBUSIA AFFINIS,FALSE,,WESTERN MOSQUITOFISH
HIODON ALOSOIDES,HIODON ALOSOIDES,FALSE,,GOLDEYE
HIODON TERGISUS,HIODON TERGISUS,FALSE,,MOONEYE
HYBOGNATHUS,HYBOGNATHUS,FALSE,,SILVERY MINNOW
HYBOGNATHUS ARGYRITIS,HYBOGNATHUS ARGYRITIS,FALSE,,WESTERN SILVERY MINNOW
HYBOGNATHUS HANKINSONI,HYBOGNATHUS HANKINSONI,FALSE,,BRASSY MINNOW
HYBOGNATHUS HAYI,HYBOGNATHUS HAYI,FALSE,,CYPRESS MINNOW
HYBOGNATHUS NUCHALIS,HYBOGNATHUS NUCHALIS,FALSE,,MISSISSIPPI SILVERY MINNOW
HYBOGNATHUS PLACITUS,HYBOGNATHUS PLACITUS,FALSE,,PLAINS MINNOW
HYBOPSIS AMBLOPS,HYBOPSIS AMBLOPS,FALSE,,BIGEYE CHUB
HYBOPSIS AMNIS,HYBOPSIS AMNIS,FALSE,,PALLID SHINER
HYBOPSIS DORSALIS,HYBOPSIS DORSALIS,FALSE,,BIGMOUTH SHINER
HYPENTELIUM NIGRICANS,HYPENTELIUM NIGRICANS,FALSE,,NORTHERN HOG SUCKER
HYPOPHTHALMICHTHYS MOLITRIX,HYPOPHTHALMICHTHYS MOLITRIX,FALSE,,SILVER CARP
HYPOPHTHALMICHTHYS NOBILIS,HYPOPHTHALMICHTHYS NOBILIS,FALSE,,BIGHEAD CARP
HYPOPHTHALMICHTHYS NOBILIS X MOLITRIX,HYPOPHTHALMICHTHYS NOBILIS X MOLITRIX,FALSE,,BIGHEAD CARP X SILVER CARP
ICHTHYOMYZON,ICHTHYOMYZON,FALSE,,LAMPREY ICHTHYOMYZON
ICHTHYOMYZON CASTANEUS,ICHTHYOMYZON CASTANEUS,FALSE,,CHESTNUT LAMPREY
ICHTHYOMYZON FOSSOR,ICHTHYOMYZON FOSSOR,FALSE,,NORTHERN BROOK LAMPREY
ICHTHYOMYZON GAGEI,ICHTHYOMYZON GAGEI,FALSE,,SOUTHERN BROOK LAMPREY
ICHTHYOMYZON UNICUSPIS,ICHTHYOMYZON UNICUSPIS,FALSE,,SILVER LAMPREY
ICTALURUS FURCATUS,ICTALURUS FURCATUS,FALSE,,BLUE CATFISH
ICTALURUS PUNCTATUS,ICTALURUS PUNCTATUS,FALSE,,CHANNEL CATFISH
ICTIOBUS,ICTIOBUS,FALSE,,BUFFALO
ICTIOBUS BUBALUS,ICTIOBUS BUBALUS,FALSE,,SMALLMOUTH BUFFALO
ICTIOBUS BUBALUS X NIGER,ICTIOBUS BUBALUS X NIGER,FALSE,,SMALLMOUTH X BLACK BUFFALO
ICTIOBUS CYPRINELLUS,ICTIOBUS CYPRINELLUS,FALSE,,BIGMOUTH BUFFALO
ICTIOBUS NIGER,ICTIOBUS NIGER,FALSE,,BLACK BUFFALO
LABIDESTHES SICCULUS,LABIDESTHES SICCULUS,FALSE,,BROOK SILVERSIDE
LAMPETRA,LAMPETRA,FALSE,,LAMPREY LAMPETRA
LAMPETRA AEPYPTERA,LAMPETRA AEPYPTERA,FALSE,,LEAST BROOK LAMPREY
LEPISOSTEIDAE,LEPISOSTEIDAE,FALSE,,GAR
LEPISOSTEUS OCULATUS,LEPISOSTEUS OCULATUS,FALSE,,SPOTTED GAR
LEPISOSTEUS OSSEUS,LEPISOSTEUS OSSEUS,FALSE,,LONGNOSE GAR
LEPISOSTEUS PLATOSTOMUS,LEPISOSTEUS PLATOSTOMUS,FALSE,,SHORTNOSE GAR
LEPOMIS CYANELLUS,LEPOMIS CYANELLUS,FALSE,,GREEN SUNFISH
LEPOMIS CYANELLUS HYBRID,LEPOMIS CYANELLUS HYBRID,FALSE,,GREEN SUNFISH HYBRID
LEPOMIS CYANELLUS X GULOSUS,LEPOMIS CYANELLUS X GULOSUS,FALSE,,GREEN SUNFISH X WARMOUTH
LEPOMIS CYANELLUS X HUMILIS,LEPOMIS CYANELLUS X HUMILIS,FALSE,,GREEN SUNFISH X ORANGESPOTTED SUNFISH
LEPOMIS CYANELLUS X MEGALOTIS,LEPOMIS CYANELLUS X MEGALOTIS,FALSE,,GREEN SUNFISH X LONGEAR SUNFISH
LEPOMIS CYANELLUS X MICROLOPHUS,LEPOMIS CYANELLUS X MICROLOPHUS,FALSE,,GREEN SUNFISH X REDEAR SUNFISH
LEPOMIS GIBBOSUS,LEPOMIS GIBBOSUS,FALSE,,PUMPKINSEED
LEPOMIS GULOSUS,LEPOMIS GULOSUS,FALSE,,WARMOUTH
LEPOMIS HUMILIS,LEPOMIS HUMILIS,FALSE,,ORANGESPOTTED SUNFISH
LEPOMIS HUMILIS X MEGALOTIS,LEPOMIS HUMILIS X MEGALOTIS,FALSE,,ORANGESPOTTED SUNFISH X LONGEAR SUNFISH
LEPOMIS HYBRID,LEPOMIS HYBRID,FALSE,,SUNFISH HYBRID
LEPOMIS MACROCHIRUS,LEPOMIS MACROCHIRUS,FALSE,,BLUEGILL
