Taxon_Orig,Rank,Appendix E target,Modified,Rationale,OTU_BCG,OTU_IBI
Chironomini (too immature),Tribe,genus,yes,level of taxonomic resolution,Chironomini,Chironomini
Abedus,Genus,genus,no,,Abedus,Abedus
Ablabesmyia,Genus,genus,no,,Ablabesmyia,Ablabesmyia
Ablabesmyia annulata,Species,genus,yes,level of taxonomic resolution,Ablabesmyia,Ablabesmyia
Ablabesmyia janta,Species,genus,yes,level of taxonomic resolution,Ablabesmyia,Ablabesmyia
Ablabesmyia mallochi,Species,genus,yes,level of taxonomic resolution,Ablabesmyia,Ablabesmyia
Acanthametropodidae,Family,genus,no,,Acanthametropodidae,Acanthametropodidae
Acanthametropus,Genus,genus,no,,Acanthametropus,Acanthametropus
Acanthametropus pecatonica,Species,genus,yes,level of taxonomic resolution,Acanthametropus,Acanthametropus
Acari,SubClass,subclass,no,,Acari,Acari
Acariformes,Order,subclass,yes,level of taxonomic resolution,Acari,Acari
Acentrella,Genus,genus,no,,Acentrella,Acentrella
Acentrella ampla,Species,genus,yes,level of taxonomic resolution,Acentrella,Acentrella
Acentrella insignificans,Species,genus,yes,level of taxonomic resolution,Acentrella,Acentrella
Acentrella nadineae,Species,genus,yes,level of taxonomic resolution,Acentrella,Acentrella
Acentrella parvula,Species,genus,yes,level of taxonomic resolution,Acentrella,Acentrella
Acentrella rallatoma,Species,genus,yes,level of taxonomic resolution,Acentrella,Acentrella
Acentrella turbida,Species,genus,yes,level of taxonomic resolution,Acentrella,Acentrella
Acentrella/Baetis,Genus,genus,no,,Acentrella/Baetis,Acentrella/Baetis
Acentria,Genus,genus,no,,Acentria,Acentria
Acerpenna,Genus,genus,no,,Acerpenna,Acerpenna
Acerpenna macdunnoughi,Species,genus,yes,level of taxonomic resolution,Acerpenna,Acerpenna
Acerpenna pygmaea,Species,genus,yes,level of taxonomic resolution,Acerpenna,Acerpenna
Acilius,Genus,genus,no,,Acilius,Acilius
Acricotopus,Genus,genus,no,,Acricotopus,Acricotopus
Acroneuria,Genus,genus,no,,Acroneuria,Acroneuria
Acroneuria abnormis,Species,genus,yes,level of taxonomic resolution,Acroneuria,Acroneuria
Acroneuria carolinensis,Species,genus,yes,level of taxonomic resolution,Acroneuria,Acroneuria
Acroneuria evoluta,Species,genus,yes,level of taxonomic resolution,Acroneuria,Acroneuria
Acroneuria frisoni,Species,genus,yes,level of taxonomic resolution,Acroneuria,Acroneuria
Acroneuria internata,Species,genus,yes,level of taxonomic resolution,Acroneuria,Acroneuria
Acroneuria lycorias,Species,genus,yes,level of taxonomic resolution,Acroneuria,Acroneuria
Actinobdella,Genus,genus,no,,Actinobdella,Actinobdella
Actinobdella inequiannulata,Species,genus,yes,level of taxonomic resolution,Actinobdella,Actinobdella
Aedes,Genus,genus,no,,Aedes,Aedes
Aeolosoma,Genus,,yes,non target,DNI,DNI
Aeolosomatidae,Family,,yes,non target,DNI,DNI
Aeshna,Genus,genus,no,,Aeshna,Aeshna
Aeshna constricta,Species,genus,yes,level of taxonomic resolution,Aeshna,Aeshna
Aeshna interrupta,Species,genus,yes,level of taxonomic resolution,Aeshna,Aeshna
Aeshna umbrosa,Species,genus,yes,level of taxonomic resolution,Aeshna,Aeshna
Aeshna verticalis,Species,genus,yes,level of taxonomic resolution,Aeshna,Aeshna
Aeshnidae,Family,genus,no,,Aeshnidae,Aeshnidae
Agabetes,Genus,genus,no,,Agabetes,Agabetes
Agabetes acuductus,Species,genus,yes,level of taxonomic resolution,Agabetes,Agabetes
Agabinae,Subfamily,genus,no,,Agabinae,Agabinae
Agabini,Tribe,genus,no,,Agabini,Agabini
Agabus,Genus,genus,no,,Agabus,Agabus
Agapetus,Genus,genus,no,,Agapetus,Agapetus
Agapetus avitus,Species,genus,yes,level of taxonomic resolution,Agapetus,Agapetus
Agarodes,Genus,genus,no,,Agarodes,Agarodes
Agarodes distinctus,Species,genus,yes,level of taxonomic resolution,Agarodes,Agarodes
Agarodes libalis,Species,genus,yes,level of taxonomic resolution,Agarodes,Agarodes
Agnetina,Genus,genus,no,,Agnetina,Agnetina
Agnetina capitata,Species,genus,yes,level of taxonomic resolution,Agnetina,Agnetina
Agnetina flavescens,Species,genus,yes,level of taxonomic resolution,Agnetina,Agnetina
Agnetina/Paragnetina,Genus,genus,no,,Agnetina/Paragnetina,Agnetina/Paragnetina
Agraylea,Genus,genus,no,,Agraylea,Agraylea
Agrypnia,Genus,genus,no,,Agrypnia,Agrypnia
Alaimidae,Family,phylum,no,,Alaimidae,Alaimidae
Alaimus,Genus,phylum,yes,level of taxonomic resolution,Nematoda,Nematoda
Alboglossiphonia,Genus,genus,no,,Alboglossiphonia,Alboglossiphonia
Alboglossiphonia heteroclita,Species,genus,yes,level of taxonomic resolution,Alboglossiphonia,Alboglossiphonia
Aleocharinae,Subfamily,genus,no,,Aleocharinae,Aleocharinae
Alisotrichia,Genus,genus,no,,Alisotrichia,Alisotrichia
Allocapnia,Genus,genus,no,,Allocapnia,Allocapnia
Allocapnia vivipara,Species,genus,yes,level of taxonomic resolution,Allocapnia,Allocapnia
Allocladius,Genus,genus,no,,Allocladius,Allocladius
Allognosta,Genus,genus,no,,Allognosta,Allognosta
Alloperla,Genus,genus,no,,Alloperla,Alloperla
Alloperla usa,Species,genus,yes,level of taxonomic resolution,Alloperla,Alloperla
Alluaudomyia,Genus,genus,no,,Alluaudomyia,Alluaudomyia
Alotanypus,Genus,genus,no,,Alotanypus,Alotanypus
Ambrysus,Genus,genus,no,,Ambrysus,Ambrysus
Ameletidae,Family,genus,no,,Ameletidae,Ameletidae
Ameletus,Genus,genus,no,,Ameletus,Ameletus
Amercaenis,Genus,genus,no,,Amercaenis,Amercaenis
Amercaenis ridens,Species,genus,yes,level of taxonomic resolution,Amercaenis,Amercaenis
Amnicola,Genus,genus,no,,Amnicola,Amnicola
Amnicola limosa,Species,genus,yes,level of taxonomic resolution,Amnicola,Amnicola
Amnicola limosus,Species,genus,yes,level of taxonomic resolution,Amnicola,Amnicola
Amphiagrion,Genus,genus,no,,Amphiagrion,Amphiagrion
Amphiagrion saucium,Species,genus,yes,level of taxonomic resolution,Amphiagrion,Amphiagrion
Amphicosmoecus,Genus,genus,no,,Amphicosmoecus,Amphicosmoecus
Amphinemura,Genus,genus,no,,Amphinemura,Amphinemura
Amphipoda,Order,genus,no,,Amphipoda,Amphipoda
Ampullariidae,Family,genus,no,,Ampullariidae,Ampullariidae
Anabolia,Genus,genus,no,,Anabolia,Anabolia
Anacaena,Genus,genus,no,,Anacaena,Anacaena
Anacaena lutescens,Species,genus,yes,level of taxonomic resolution,Anacaena,Anacaena
Anafroptilum,Genus,genus,no,,Anafroptilum,Anafroptilum
Anax,Genus,genus,no,,Anax,Anax
Anax junius,Species,genus,yes,level of taxonomic resolution,Anax,Anax
Anchytarsus,Genus,genus,no,,Anchytarsus,Anchytarsus
Anchytarsus bicolor,Species,genus,yes,level of taxonomic resolution,Anchytarsus,Anchytarsus
Ancylidae,Family,genus,no,,Ancylidae,Ancylidae
Ancyronyx,Genus,genus,no,,Ancyronyx,Ancyronyx
Ancyronyx variegata,Species,genus,yes,level of taxonomic resolution,Ancyronyx,Ancyronyx
Ancyronyx variegatus,Species,genus,yes,level of taxonomic resolution,Ancyronyx,Ancyronyx
Angarotipula,Genus,genus,no,,Angarotipula,Angarotipula
Anisitsiellidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Anisocentropus,Genus,genus,no,,Anisocentropus,Anisocentropus
Anisocentropus pyraloides,Species,genus,yes,level of taxonomic resolution,Anisocentropus,Anisocentropus
Anisoptera,SubOrder,genus,no,,Anisoptera,Anisoptera
Annelida,Phylum,,yes,non target,DNI,DNI
Annulipalpia,Family,genus,no,,Annulipalpia,Annulipalpia
Anodonta,Genus,genus,no,,Anodonta,Anodonta
Anodonta imbecillis,Species,genus,yes,level of taxonomic resolution,Anodonta,Anodonta
Anopheles,Genus,genus,no,,Anopheles,Anopheles
Anostraca,Order,,yes,non target,DNI,DNI
Anthopotamus,Genus,genus,no,,Anthopotamus,Anthopotamus
Anthopotamus distinctus,Species,genus,yes,level of taxonomic resolution,Anthopotamus,Anthopotamus
Anthopotamus myops,Species,genus,yes,level of taxonomic resolution,Anthopotamus,Anthopotamus
Anthopotamus neglectus,Species,genus,yes,level of taxonomic resolution,Anthopotamus,Anthopotamus
Anthopotamus verticis,Species,genus,yes,level of taxonomic resolution,Anthopotamus,Anthopotamus
Antichaeta,Genus,genus,no,,Antichaeta,Antichaeta
Antillocladius,Genus,genus,no,,Antillocladius,Antillocladius
Antocha,Genus,genus,no,,Antocha,Antocha
Apatania,Genus,genus,no,,Apatania,Apatania
Apatania incerta,Species,genus,yes,level of taxonomic resolution,Apatania,Apatania
Apataniidae,Family,genus,no,,Apataniidae,Apataniidae
Apedilum,Genus,genus,no,,Apedilum,Apedilum
Aphididae,Family,genus,no,,Aphididae,Aphididae
Aphylla,Genus,genus,no,,Aphylla,Aphylla
Aplexa,Genus,genus,no,,Aplexa,Aplexa
Aplexa elongata,Species,genus,yes,level of taxonomic resolution,Aplexa,Aplexa
Apsectrotanypus,Genus,genus,no,,Apsectrotanypus,Apsectrotanypus
Aquarius,Genus,genus,no,,Aquarius,Aquarius
Aquarius remigis,Species,genus,yes,level of taxonomic resolution,Aquarius,Aquarius
Arachnida,Class,,yes,non target,DNI,DNI
Archilestes,Genus,genus,no,,Archilestes,Archilestes
Archilestes grandis,Species,genus,yes,level of taxonomic resolution,Archilestes,Archilestes
Archips,Genus,genus,no,,Archips,Archips
Arcteonais,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Arcteonais lomondi,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Arctiidae,Family,genus,no,,Arctiidae,Arctiidae
Arctopelopia,Genus,genus,no,,Arctopelopia,Arctopelopia
Arctopsyche,Genus,genus,no,,Arctopsyche,Arctopsyche
Arctopsyche irrorata,Species,genus,yes,level of taxonomic resolution,Arctopsyche,Arctopsyche
Arctopsyche ladogensis,Species,genus,yes,level of taxonomic resolution,Arctopsyche,Arctopsyche
Arctopsychinae,SubFamily,genus,no,,Arctopsychinae,Arctopsychinae
Argia,Genus,genus,no,,Argia,Argia
Argia apicalis,Species,genus,yes,level of taxonomic resolution,Argia,Argia
Argia fumipennis,Species,genus,yes,level of taxonomic resolution,Argia,Argia
Argia moesta,Species,genus,yes,level of taxonomic resolution,Argia,Argia
Arigomphus,Genus,genus,no,,Arigomphus,Arigomphus
Arrenuridae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Arrenurus,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Arrenurus problecornis,Species,subclass,yes,level of taxonomic resolution,Acari,Acari
Asellidae,Family,genus,no,,Asellidae,Asellidae
Asellus,Genus,genus,no,,Asellus,Asellus
Asioplax,Genus,genus,no,,Asioplax,Asioplax
Astacidae,Family,genus,no,,Astacidae,Astacidae
Asynarchus,Genus,genus,no,,Asynarchus,Asynarchus
Athericidae,Family,genus,no,,Athericidae,Athericidae
Atherix,Genus,genus,no,,Atherix,Atherix
Atherix lantha,Species,genus,yes,level of taxonomic resolution,Atherix,Atherix
Atherix variegata,Species,genus,yes,level of taxonomic resolution,Atherix,Atherix
Atractides,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Atrichopogon,Genus,genus,no,,Atrichopogon,Atrichopogon
Attaneuria,Genus,genus,no,,Attaneuria,Attaneuria
Attaneuria ruralis,Species,genus,yes,level of taxonomic resolution,Attaneuria,Attaneuria
Attenella,Genus,genus,no,,Attenella,Attenella
Attenella attenuata,Species,genus,yes,level of taxonomic resolution,Attenella,Attenella
Aturidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Aturus,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Atylotus,Genus,genus,no,,Atylotus,Atylotus
Auleutes,Genus,genus,no,,Auleutes,Auleutes
Aulodrilus,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Aulodrilus limnobius,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Aulodrilus pigueti,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Aulodrilus pluriseta,Species,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Axarus,Genus,genus,no,,Axarus,Axarus
Axonopsidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Baetidae,Family,genus,no,,Baetidae,Baetidae
Baetis,Genus,genus,no,,Baetis,Baetis
Baetis brunneicolor,Species,genus,yes,level of taxonomic resolution,Baetis,Baetis
Baetis flavistriga,Species,genus,yes,level of taxonomic resolution,Baetis,Baetis
Baetis flavistriga group,Species,genus,yes,level of taxonomic resolution,Baetis,Baetis
Baetis intercalaris,Species,genus,yes,level of taxonomic resolution,Baetis,Baetis
Baetis pluto,Species,genus,yes,level of taxonomic resolution,Baetis,Baetis
Baetis pygmaeus,Species,genus,yes,level of taxonomic resolution,Baetis,Baetis
Baetis tricaudatus,Species,genus,yes,level of taxonomic resolution,Baetis,Baetis
Baetis/Fallceon,Genus,genus,no,,Baetis/Fallceon,Baetis/Fallceon
Baetis/Procloeon,Genus,genus,no,,Baetis/Procloeon,Baetis/Procloeon
Baetisca,Genus,genus,no,,Baetisca,Baetisca
Baetisca berneri,Species,genus,yes,level of taxonomic resolution,Baetisca,Baetisca
Baetisca carolina,Species,genus,yes,level of taxonomic resolution,Baetisca,Baetisca
Baetisca lacustris,Species,genus,yes,level of taxonomic resolution,Baetisca,Baetisca
Baetisca laurentina,Species,genus,yes,level of taxonomic resolution,Baetisca,Baetisca
Baetisca rogersi,Species,genus,yes,level of taxonomic resolution,Baetisca,Baetisca
