ScientificName,CommonName,TYPE,HABITAT,REPRODUCTION,TOLER,TROPHIC,BCG_Attr_MN2_01,BCG_Attr_MN2_02,BCG_Attr_MN2_03,BCG_Attr_MN2_04,BCG_Attr_MN2_05,BCG_Attr_MN2_06,BCG_Attr_MN2_07,BCG_Attr_MN2_10,BCG_Attr_MN2_11,Family,Genus,Species
Etheostoma microperca,least darter,"DS,DSS,PERC,SL",,"MA<2,SER","I,S","BI-T,IN-T",2,2,2,2,2,2,2,,,Percidae,Etheostoma,microperca
Etheostoma nigrum,johnny darter,"DS,DSS,PERC,PI",,"MA<2,NE",,"BI-T,IN-T",4,4,4,4,4,4,4,4,4,Percidae,Etheostoma,nigrum
Etheostoma olmstedi,tesselated darter,,,,,,,,,,,,,,,Percidae,Etheostoma,olmstedi
Etheostoma vitreum,glassy darter,,,,,,,,,,,,,,,Percidae,Etheostoma,vitreum
Etheostoma zonale,banded darter,"DS,DSS,PERC",,"MA<2,SER,SILI",S,"BI-T,IN-T",3,3,3,,,,3,4,4,Percidae,Etheostoma,zonale
Exoglossum maxillingua,cutlips minnow,,,,,,,,,,,,,,,Cyprinidae,Exoglossum,maxillingua
Fundulidae,killifishes,,,,,,,,,,,,,,,Fundulidae,,
Fundulus,topminnows,,,,,IN-T,,,,,,,,,,Fundulidae,Fundulus,
Fundulus diaphanus,banded killifish,,,"MA<2,SER",,IN-T,3,3,3,3,3,3,3,3,3,Cyprinodontidae,Fundulus,diaphanus
Fundulus dispar,starhead topminnow,,HW-T,"MA<2,SER","I,S",IN-T,,,,,,,,,,Fundulidae,Fundulus,dispar
Fundulus heteroclitus,mummichog,,,,,,,,,,,,,,,Cyprinodontidae,Fundulus,heteroclitus
Fundulus majalis,striped killifish,,,,,,,,,,,,,,,Fundulidae,Fundulus,majalis
Fundulus notatus,blackstripe topminnow,,,"MA<2,SER",,IN-T,,,,,,,,,,Fundulidae,Fundulus,notatus
Fundulus sciadicus,plains topminnow,SL,,MA<2,S,IN-T,,2,2,,,,2,,,Fundulidae,Fundulus,sciadicus
Gadidae,codfishes,,,,,,,,,,,,,,,Gadidae,,
Gambusia holbrooki,eastern mosquitofish,,,,,,,,,,,,,,,Poeciliidae,Gambusia,holbrooki
Gasterosteidae,sticklebacks,,,,,,,,,,,,,,,Gasterosteidae,,
