Taxon_Group,Taxon_Orig_Common,Taxon_Orig_Sci,NonTarget,source_MPCA,source_RedLake,Comment,FishTaxaID,OTU_BCG_Common,OTU_IBI_Common,OTU_BCG_Sci,OTU_IBI_Sci,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species
,Atlantic Salmon,Salmo salar,,MN BCG Access db,,,2,Atlantic Salmon,Atlantic Salmon,Salmo salar,Salmo salar,Salmo salar,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,salar
,Slimy Sculpin,Cottus cognatus,,MN BCG Access db,,,19,Slimy Sculpin,Slimy Sculpin,Cottus cognatus,Cottus cognatus,Cottus cognatus,Animalia,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,cognatus
,American brook lamprey,Lethenteron appendix,,MN BCG Access db,,,21,American brook lamprey,American brook lamprey,Lethenteron appendix,Lethenteron appendix,Lethenteron appendix,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lethenteron,appendix
,American eel,Anguilla rostrata,,MN BCG Access db,,,22,American eel,American eel,Anguilla rostrata,Anguilla rostrata,Anguilla rostrata,Animalia,Chordata,Osteichthyes,Anguilliformes,Anguillidae,Anguilla,rostrata
,Banded darter,Etheostoma zonale,,MN BCG Access db,,,23,Banded darter,Banded darter,Etheostoma zonale,Etheostoma zonale,Etheostoma zonale,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,zonale
,Banded killifish,Fundulus diaphanus,,MN BCG Access db,,,24,Banded killifish,Banded killifish,Fundulus diaphanus,Fundulus diaphanus,Fundulus diaphanus,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,diaphanus
,Banded sunfish,Enneacanthus obesus,,MN BCG Access db,,,25,Banded sunfish,Banded sunfish,Enneacanthus obesus,Enneacanthus obesus,Enneacanthus obesus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,obesus
,Black crappie,Pomoxis nigromaculatus,,MN BCG Access db,,,26,Black crappie,Black crappie,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
,western blacknose dace,Rhinichthys obtusus,,MN BCG Access db,,,27,western blacknose dace,western blacknose dace,Rhinichthys obtusus,Rhinichthys obtusus,Rhinichthys obtusus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
,Bluegill,Lepomis macrochirus,,MN BCG Access db,,,28,Bluegill,Bluegill,Lepomis macrochirus,Lepomis macrochirus,Lepomis macrochirus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus
