Taxon_Group,Taxon,NonTarget,LBR_NumSamp,LBR_SumAbund,BCG_attr,BCG_attr2,BCG_attr_Roman,BURP_TOL,FFG,BURP_FFG,Habit,BURP_HABIT,Life_Cycle,BURP_VOLT,LONGLIVED,Thermal_indicator,ThermPref_ORWA,BURP_THERM,ThermVar_ORWA,Habitat,FSBI_2012,BSTI_v2_opt,BSTI_v2_tol,Hemoglobin,LargeRiver,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Comments
Chironomidae,Ablabesmyia,FALSE,,,4,4_worse,IV_worse,8,PR,Predator,SP,Sprawler,multi,,FALSE,,warm,Eurythermal,,GENE,,60.10048027,39.83067561,T,,128079,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,Pentaneurini,,Ablabesmyia,,,,,,
Acari,Acari,FALSE,130,19714.472,NA,,NA,6,"PR,PA",Parasite,UN,Swimmer/Clinger,uni,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,yes,NA,,66.85914013,28.36468526,,,733321,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,,
Ephemeroptera,Acentrella,FALSE,,,4,4_middle,IV_middle,6,CG,Gatherer,"SW,CN",Clinger/Swimmer,multi,Facultative Multivoltine,FALSE,,warm,Eurythermal: warm summer,,LOTI,5,,,,TRUE,100801,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,,
Ephemeroptera,Acentrella insignificans,FALSE,101,14088.764,4,4_middle,IV_middle,7,CG,Gatherer,"SW,CN",Swimmer/Clinger,multi,Facultative Multivoltine,FALSE,,warm,Eurythermal: warm summer,,LOTI,5,,,,TRUE,568572,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,insignificans,
Ephemeroptera,Acentrella parvula,FALSE,,,NA,,NA,4,CG,Gatherer,"SW,CN",,multi,,FALSE,,,,,LOTI,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,parvula,
Ephemeroptera,Acentrella turbida,FALSE,6,1215,4,4_middle,IV_middle,6,CG,Gatherer,"SW,CN",Swimmer/Clinger,multi,Facultative Multivoltine,FALSE,,warm,Eurythermal: warm summer,,LOTI,5,4.083827651,7.052348099,,,568574,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acentrella,,,,,turbida,
Ephemeroptera,Acerpenna,FALSE,,,NA,,NA,,CG,Scraper,"SW,CN",Clinger/Swimmer,multi,,FALSE,,,,,LOTI,,,,,,568546,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Acerpenna,,,,,,
Coleoptera,Acilius,FALSE,,,NA,,NA,,PR,,SW,,uni,,FALSE,,,,,LENT,,,,,,112074,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Dytiscinae,Aciliini,,Acilius,,,,,,
Chironomidae,Acricotopus,FALSE,,,NA,,NA,6,UN,Gatherer,SP,Sprawler,multi,,FALSE,,,,,GENE,,,,,,128463,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Acricotopus,,,,,,
Leeches,Actinobdella,FALSE,,,,,NA,,,,,,,,FALSE,,,,,,,,,,,,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Actinobdella,,,,,,
Misc. Phyla,Aeolosoma,FALSE,,,,,NA,,,Filterer,,Sprawler,,,FALSE,,,Eurythermal: warm summer,,,,,,,,,Animalia,Annelida,,,,,,,,,,,Aeolosoma,,,,,,
Odonata,Aeshna/Rhionaeschna,FALSE,,,4,4_middle,IV_middle,,PR,,"CB,SP",,semi,,TRUE,,,,,GENE,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,Aeshna/Rhionaeschna,,,,,,
Odonata,Aeshnidae,FALSE,,,4,4_middle,IV_middle,8,PR,Predator,"CB,SP",Sprawler,semi,,TRUE,,warm,,,GENE,,,,,,101596,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Aeshnidae,,,,,,,,,,
Coleoptera,Agabinae,FALSE,,,4,4_middle,IV_middle,,PR,,"SW,CB",,uni,,FALSE,,cowa,,,GENE,,,,,,728212,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Dytiscidae,Agabinae,,,,,,,,,
Trichoptera,Agapetus,FALSE,1,1,3,,III,5,"SC,CG",Scraper/Gatherer,CN,Clinger,uni,Univoltine,FALSE,,cowa,Eurythermal: warm summer,,LOTI,5,5.923139456,8.485534198,,,117121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatoidea,Glossosomatidae,Agapetinae,,,Agapetus,,,,,,
Diptera,Agathon,FALSE,,,3,,III,4,SC,Scraper,CN,Clinger,uni,Univoltine,FALSE,,,Stenothermal: cold,,LOTI,,,,,,121230,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Blephariceridae,Blepharicerinae,Blepharicerini,,Agathon,,,,,,
